term_str,x,y,n,max_pos,logn
voice,-26.180943,-28.238121,1294.0,NN,7.165493475060845
voices,-36.502056,-8.350976,221.0,NNS,5.3981627015177525
waistcoat,-21.781963,-11.470426,59.0,NN,4.07753744390572
wait,67.59522,-0.16087131,367.0,VB,5.905361848054571
waited,8.671577,48.5052,230.0,VBD,5.438079308923196
waiting,23.880142,8.210402,355.0,VBG,5.872117789475416
wake,60.917538,-11.007849,179.0,VB,5.187385805840755
walk,65.69242,-7.269436,424.0,VB,6.049733455231958
walked,-6.0433955,51.527187,456.0,VBD,6.1224928095143865
walking,-27.905916,24.77298,205.0,VBG,5.3230099791384085
wall,-41.86636,16.41719,1166.0,NN,7.061334366910438
walls,-52.784256,-0.07554588,772.0,NNS,6.648984550024776
wandered,-6.453745,43.61331,75.0,VBD,4.31748811353631
wandering,-6.5858116,2.0217495,107.0,VBG,4.672828834461906
want,52.69228,15.507872,1429.0,VBP,7.264730177929867
wanted,30.365223,39.528748,761.0,VBD,6.634633357861686
wants,25.367947,34.31407,213.0,VBZ,5.3612921657094255
war,-1.2948318,-43.780956,698.0,NN,6.548219102762372
warm,-25.845097,4.019633,344.0,JJ,5.840641657373398
warrior,-34.264706,-8.785116,184.0,JJ,5.214935757608986
warriors,-11.740274,-41.443703,140.0,NNS,4.941642422609304
wash,-18.021338,18.429438,129.0,VB,4.859812404361672
washed,1.8434427,39.91592,142.0,VBD,4.955827057601261
waste,-7.496632,1.6185493,108.0,NN,4.68213122712422
watch,-24.554607,19.602709,731.0,NNP,6.594413459749778
watched,8.744472,38.042374,400.0,VBD,5.991464547107982
watching,1.0451274,-7.561891,241.0,VBG,5.484796933490655
water,-48.82672,12.805659,1198.0,NN,7.088408778675395
waters,-49.445343,1.8181736,174.0,NNS,5.159055299214529
wave,-27.23339,-9.632421,67.0,NN,4.204692619390966
waves,-46.390057,2.5416942,104.0,NNS,4.6443908991413725
way,-13.872268,-2.3871706,2655.0,NN,7.884199933676039
ways,-14.82515,-30.362211,163.0,NNS,5.093750200806762
weak,15.35338,7.139107,202.0,JJ,5.308267697401205
wealth,2.4868321,-31.710918,76.0,NN,4.330733340286331
weapon,-32.969036,-9.08167,98.0,NN,4.584967478670572
weary,13.131579,9.195314,155.0,JJ,5.043425116919247
weather,-10.333961,-3.06361,93.0,NN,4.532599493153256
week,-36.65414,-36.700462,140.0,NN,4.941642422609304
weeks,-39.505432,-47.57041,77.0,NNS,4.343805421853684
weeping,-19.633049,12.589351,136.0,VBG,4.912654885736052
weight,-0.55191815,-31.294838,176.0,NN,5.170483995038151
welcome,49.8924,-5.1186852,171.0,JJ,5.14166355650266
wendy,26.288095,31.577423,662.0,NNP,6.495265555937008
