term_str,x,y,n,max_pos,logn
wooden,-34.584385,0.61858064,248.0,JJ,5.5134287461649825
woods,-19.917265,24.905163,212.0,NNS,5.356586274672012
wool,-44.053455,-2.5277352,119.0,NN,4.77912349311153
word,26.069307,20.933792,861.0,NN,6.7580945044277305
words,7.2712507,33.571133,1097.0,NNS,7.00033446027523
wore,-12.749499,-26.698341,344.0,VBD,5.840641657373398
work,17.889814,30.98902,494.0,NN,6.202535517187923
worked,-0.22617252,-36.04459,105.0,VBD,4.653960350157523
world,-13.004535,20.433977,682.0,NN,6.525029657843462
worn,5.6187897,-55.158974,120.0,VBN,4.787491742782046
worse,43.655926,35.26024,336.0,JJR,5.817111159963204
worst,11.032425,14.1689625,139.0,JJS,4.9344739331306915
worth,20.297478,4.4403024,189.0,JJ,5.241747015059643
wouldnt,34.89823,-38.60639,300.0,VBP,5.703782474656201
wound,-43.725918,18.030499,291.0,NN,5.673323267171493
wounded,-0.07148199,5.163636,164.0,JJ,5.099866427824199
wounds,-5.178604,26.623987,118.0,NNS,4.770684624465665
wrapped,-35.595276,-14.683795,121.0,VBD,4.795790545596741
wrenched,-16.259579,-44.475826,69.0,VBD,4.23410650459726
wrist,-50.62688,14.456498,88.0,NN,4.477336814478207
write,55.869595,4.2599034,133.0,VB,4.890349128221754
wrong,24.846996,-21.160448,334.0,JJ,5.811140992976701
yanked,-22.476995,-42.15684,55.0,VBD,4.007333185232471
yard,-22.666344,20.807775,329.0,NN,5.796057750765372
yards,-14.193908,46.70632,106.0,NNS,4.663439094112067
year,-7.5200095,11.500684,352.0,NN,5.863631175598097
years,-9.867486,48.439426,940.0,NNS,6.84587987526405
yellow,-45.17697,-6.166356,252.0,JJ,5.529429087511423
yes,21.183031,-2.9164984,1289.0,NN,7.161622002939187
yield,51.65554,-6.4794254,182.0,VB,5.204006687076795
youd,36.272938,-35.426067,211.0,NN,5.351858133476067
youll,37.573093,-36.400448,497.0,NN,6.208590026096629
young,13.535681,-2.5168815,1246.0,JJ,7.1276936993473985
younger,45.860413,36.42239,181.0,JJR,5.198497031265826
youre,22.040396,-32.24822,606.0,NN,6.406879986069314
youth,12.230645,22.559456,200.0,NN,5.298317366548036
youve,39.093895,-24.820435,223.0,NN,5.407171771460119
